Hashtags,
#정든칼국수,"진한 해물육수 + 직접 담근 김치조합!
막국수 느낌의 시원한 냉칼국수까지
이열치열 이한치한 모두 가능🤩"
#3월3일 영통직영점,"망포에서 줄서서 먹던 고깃집🙂
영통에도 상륙했다는데~? 반달공원에 찐맛집 두두등장~"
#노가리슈퍼,"영통 중상 레트로술집 ❣️
낭낭한 분위기 + 바삭한 전주황태 한입에~
달달구리 요구르트소주랑 하이볼까지🍻
월~목 7시이전 방문시 노가리 2마리도줌!"
#문어상회 🐙,"제철 굴김치 + 문어숙회 + 돼지수육
삼합으로 한입에 싹~~~ 먹고 <3
문어해물라면이랑 부산어묵탕에 한라산🍶"
#노마세야갈비찜,"추운 날씨에 먹기 딱인 노마세야 갈비찜
이번에 가리비 갈비찜 메뉴까지 재출시!
국내산 가리비에 한잔하면 뜨듯하게 힐링 ❤
8시전에 들어가면 주류 50% 할인까지~"
#용용선생,화산마라전골이 유명한곳 홍콩식 인테리어 분위기
#봉자막창,맛과 가성비 둘 다 잡은 핫플레이스 막창+고깃집
#이동간받이,20년 전통 숯불구이 및 생고기 전문점 맛집
#탄탄면공방,대한민국 최초 한국식 탄탄면 전문점 맛집
#마일드브루,마들렌이 엄청 맛있는 카페 크림라떼 맛집
#마구로훈,룸에서 편안하게 모임하기 좋은곳 참치가 맛있는곳
#팔각도,닭 특수부위 숯불구이 전문점 숯불로 초벌하여 고기가 부드러운 맛집
#라이브볼샐러드,다이어터들도 맛있게 여러가지 샐러드를 즐길수있는 맛집
#포동푸딩,성수동 푸딩 맛집 포동푸딩이 광교에도 오픈
#원천맥주,원하는 수제&하이엔드맥주를 다양하게 즐길 수 있는 셀프 탭 맥주펍
#까몬,"쌀국수, 반미,랭쌤까지 로컬에서 즐길 수 있는 베트남 메뉴를 맛볼 수 있는 곳"
#피팅룸,주막을 벗어난 전통주점으로 다양한 전통주와 안주를 즐길 수 있는곳
"
#반치앙마이광교",태국 브런치 카페&캐주얼 펍으로 광교에서 즐길 수 있는 태국여행!
#카페리노,찐 호주식 커피와 하루 10개만 파는 한정수량 카이막토스트 맛집
#익스프레스파스타앤피자,피자와 파스타를 동시에 즐길 수 있는 곳! 밥약도 많이 하는 장소임!
#돈부리인생,돈가스 하나 시키면 튀김에 찌개까지! 평점 5점에 빛나는 가성비 맛집
#도스마스,경희대 마을 안에 있는 부리또  맛집! 양이 많아 점심으로 먹기 좋음!
#겐코,밥약의 성지! 덮밥이 먹고 싶다면 이곳으로!! 덮밥 종류가 다양함!
#호식당,생연어 덮밥과 수제 일본식 카레 전문점으로 모든 음식 맛 보장!
#그로또,파스타 및 브런치 맛집으로 이미 영통에서 소문난 소개팅 분위기 맛집!
#붉은입술,다양한 와인을 파는 퓨전 레스토랑으로 분위기와 맛 둘 다 잡은 맛집!
#아름다운땅,이탈리안 레스토랑으로 화덕피자와 다양한 이탈리안 요리 맛 볼 수 있음!
#쏘니스썬프란시스코마켓,외국에 온 듯한 느낌을 주는 이국적인 분위기의 브런치 맛집
#무빈와인,다양한 안주들과 300가지 넘는 다양한 와인을 즐길 수 있는 와인바
#더유로피언,화려한 샹들리에 인테리어가 인상적이고 신라호텔 쉐프가 만드는 맛집!
#스미어,"낮에는 브런치와 카페, 밤에는 와인다이닝으로 운영하는 양식 맛집"
#알단테,광교 카페 거리에서 이미 소문난 파스타 맛집으로 분위기까지 좋음!
#투섹션,샹들리에가 분위기 다하는 다이닝펍 레스토랑으로 식스센스에도 나옴!
#초밥쟁이,점심이 가성비로 유명한 초밥 맛집! 바 자리가 있어서 혼밥 하기 좋음!
#최고당돈가스영통점,넓은 매장과 저렴한 가격에 푸짐하게 먹을 수 있는 돈가스 맛집!
#반달유부,단순 유부초밥이 아닌 다양한 토핑으로 여러가지 맛을 볼 수 있는 곳!
#부대통령뚝배기수원경희대점,제2의 경희대 학식이라고 불리는 가성비 맛집! 혼밥 하는 학생도 많음!
"
#고쿠텐영통점",감칠맛이 일품인 튀김덮밥 전문점! 튀김이 완전 바삭하고 촉촉함!
#미채담샤브정,1인 샤브샤브 정식이 있어 혼자 샤브샤브가 먹고싶을 때 제격!
#싸움의고수영통점,1인 보쌈집으로 유명한 이곳! 다양한 종류의 도시락을 맛 볼 수 있음!
#코이라멘수원영통점,진한 육수에 고기가 많이 들어가있고 면이 탱글해 식감까지 완벽한 맛집!
#아블라,스페인르꼬르동블루를 졸업하신 셰프님의 오픈 키친 스페인 코스 요리 레스토랑
#샐러드앤가득광교점,신선한 야채를 사용하여 다양하고 푸짐한 토핑으로 포만감이 큰 샐러드 맛집!
#블리스버거광교점,수제버거 맛집 영통 광교에 상륙! 고기 육즙 가득 패티와 신선한 야채까지~
#쏠,홀케이크와 커스텀 케이크도 주문 가능한 귀여운 쿠키를 파는 수제쿠키 맛집
#모박사부대찌개광교점,한우 사골육수와 프리미엄 햄과 소세지로 만드는 30년 전통 부대찌개 맛집!
#벌컥벌컥커피,커피도 맛있고 카야토스트와 크림 브륄레도 맛있는 가성비 좋은 카페 맛집!
#아이엠그라운드,핸드메이드 그릭 요거트와 그레놀라가 맛있고 인테리어도 예쁜 신상 카페!
#크래프트루영통점,"수요미식회에도 나온 #크래프트루 영통점🍺
양조장에서 갓 생산된 신선한 수제맥주와
다양한 존맛 피자와 스테이크까지 다있음!
분위기 진짜 힙해서 재밌게 술마시기 👍
@@이번주말에 피맥하러 갈 사람~?"
#닷지,혼술하기 좋고 안주도 모두 맛있고 서비스도 많이 주는 숨겨진 맛집!
#모코지,사장님 추천 지중해식 해물스튜가 맛있는 영통 중상의 맛집!
#비스트로출출,맛있는 안주와 전통주부터 와인까지 다양한 주류를 파는 비스트로!
#고씨주방,변형된 유럽피안 스타일의 음식이 매력적인 맛집!
